time,value
1595002020,[]
1597034317,[1]
1598035007,"[1, 3]"
1598500221,[3]
1599095191,[]
1600024140,[5]
1601643293,[]
1602040410,[7]
1604015707,[]
1604031188,[1]
1604927789,[]
1606031944,[3]
1607137022,[]
1608024197,[7]
1609260300,[]
1613024277,[1]
1613037524,"[1, 3]"
1614224389,[1]
1614550017,[]
1617053241,[5]
1618025265,"[5, 7]"
1619447424,[5]
1620697357,[]
1620723815,[5]
1620887239,[]
1621033810,[3]
1622023201,"[1, 3]"
1622435638,[1]
1623472459,[]
1627024476,[7]
1628445942,[]
1629024750,[8]
1630025261,[]
1631025647,[3]
1631031630,"[1, 3]"
1631038036,"[1, 3, 4]"
1631975701,"[1, 3]"
1632306181,[1]
1632722730,[]
1635020651,[7]
1636638377,[]
1637023969,[8]
1637981460,[]
1638025480,[2]
1639022873,"[1, 2]"
1639025560,"[1, 2, 3]"
1639029903,"[1, 2, 3, 4]"
1639101034,"[1, 3, 4]"
1640024364,"[1, 3, 4, 6]"
1640028884,"[1, 3, 6]"
1640384070,"[1, 6]"
1640397954,[6]
1641182370,[]
1643020972,[7]
1644490111,[]
1645036021,[8]
1646039927,"[2, 8]"
1646044663,[2]
1647025256,"[2, 3]"
1647054843,"[2, 3, 4]"
1647442495,"[3, 4]"
1648042454,[4]
1648530236,[]
1649027555,[6]
1650345668,[]
1653024106,[8]
1654035091,"[1, 8]"
1654059431,[1]
1655033882,"[1, 2]"
1655407092,[2]
1656024779,"[2, 4]"
1656122950,[4]
1656786104,[]
1658022738,[7]
1658027040,"[6, 7]"
1659367027,[7]
1659537978,[]
1661024489,[8]
1661035921,"[1, 8]"
1662209398,[1]
1662657405,[]
1663025819,[3]
1663033378,"[2, 3]"
1664028084,"[2, 3, 4]"
1664050105,"[3, 4]"
1664121995,[4]
1665111547,[]
1666034094,[6]
1666770371,[]
1667025019,[7]
1668422688,[]
1669028117,[5]
1670020845,"[5, 8]"
1670644310,[8]
1671020252,"[2, 8]"
1671037010,"[2, 3, 8]"
1671084770,"[2, 3]"
1672024427,"[2, 3, 4]"
1672130768,"[3, 4]"
1672130958,[4]
1672730913,[]
1674023547,[6]
1675352889,[]
1679021920,[8]
1679022796,"[2, 8]"
1679026189,"[1, 2, 8]"
1679985042,"[2, 8]"
1680022892,[8]
1680036146,[]
1681023810,[4]
1681703624,[]
1682027741,[6]
1682696599,[]
1684022320,[7]
1685205603,[]
1687021068,[8]
1688022550,"[2, 8]"
1688024167,"[2, 3, 8]"
1688359383,"[2, 3]"
1688853870,[3]
1689218263,[]
1690022739,[6]
1690024897,"[4, 6]"
1690804405,[4]
1691033950,[]
1695054831,[8]
1696028391,"[1, 8]"
1696042703,"[1, 2, 8]"
1696404668,"[1, 2]"
1697041931,"[1, 2, 4]"
1697652077,"[1, 4]"
1697887672,[1]
1698449317,[]
1698475687,[1]
1698663582,[]
1700025150,[6]
1701038240,"[6, 7]"
1701043374,"[5, 6, 7]"
1701328545,"[5, 7]"
1702729500,[7]
1704854823,[]
1705025726,[3]
1705038654,"[2, 3]"
1705871820,[3]
1707565441,[]
1707590341,[3]
1707743201,[]
1708024064,[6]
1708781477,[]
1711035712,[8]
1712060757,[]
1714024985,[4]
1714811803,[]
1720025515,[8]
1720031000,"[2, 8]"
1720792889,[8]
1721084624,[]
1722036112,[4]
1722748830,[]
1723046010,[6]
1723956276,[]
1729025327,[2]
1729826219,[]
1732023294,[6]
1732764354,[]
1737029641,[8]
1738241657,[]
1739024708,[4]
1740190831,[]
1746032222,[2]
1747025515,"[1, 2]"
1747383329,[1]
1747896309,[]
1749025120,[6]
1750385824,[]
1752023957,[7]
